lat        ,lng          ,
41.737741  ,-87.734887   ,
41.724211  ,"-87.660316	",
41.757812  ,"-87.591992	",
41.887084  ,"-87.651018	",
41.939444  ,"-87.689597	",
41.930023  ,"-87.636320	",
41.717981  ,"-87.570978	",
41.752897  ,"-87.559937	",
41.856107  ,"-87.625572	",
41.903997  ,"-87.643230	",
41.669741  ,"-87.640438	",
41.878427  ,"-87.758582	",
41.737094  ,"-87.572998	",
41.781577  ,"-87.615660	",
41.814913  ,"-87.595992	",
41.746857  ,"-87.588226	",
41.807607  ,"-87.671016	",
41.811654  ,"-87.644402	",
41.846318  ,"-87.640470	",
41.876713  ,"-87.750611	",
41.865708  ,"-87.721499	",
41.777764  ,"-87.615563	",
41.744876  ,"-87.616373	",
41.954882  ,"-87.669067	",
41.801719  ,"-87.630704	",
41.794628  ,"-87.627063	",
41.883311  ,"-87.763294	",
41.711308  ,"-87.560952	",
41.793435  ,"-87.708765	",
41.953815  ,"-87.715903	",
41.959097  ,"-87.730232	",
41.751606  ,"-87.658619	",
41.798817  ,"-87.633108	",
41.902449  ,"-87.758253	",
41.881944  ,"-87.634195	",
41.965088  ,"-87.679749	",
41.741361  ,"-87.602529	",
41.77768   ,"-87.662463	",
41.913099  ,"-87.700329	",
41.905431  ,"-87.685872	",
41.754593  ,"-87.741529	",
41.77185   ,"-87.673712	",
41.948097  ,"-87.654356	",
41.738532  ,"-87.600857	",
42.012254  ,"-87.691560	",
41.75576   ,"-87.636860	",
41.880751  ,"-87.723856	",
41.878654  ,"-87.723160	",
41.881183  ,"-87.684982	",
41.683723  ,"-87.672456	",
41.892631  ,"-87.618286	",
41.881664  ,"-87.627761	",
41.729004  ,"-87.597371	",
41.760096  ,"-87.576168	",
41.791517  ,"-87.683976	",
41.90832   ,"-87.670832	",
41.760242  ,"-87.674630	",
42.019804  ,"-87.666206	",
41.747161  ,"-87.568599	",
41.747646  ,"-87.603491	",
41.973931  ,"-87.706971	",
41.981112  ,"-87.768682	",
41.946857  ,"-87.646973	",
41.751677  ,"-87.570411	",
41.941823  ,"-87.705246	",
41.91354   ,"-87.786770	",
41.909824  ,"-87.773984	",
41.735169  ,"-87.703314	",
41.885016  ,"-87.730705	",
41.920266  ,"-87.665314	",
41.947525  ,"-87.782778	",
41.795386  ,"-87.619243	",
41.833225  ,"-87.675353	",
41.780581  ,"-87.769154	",
41.742255  ,"-87.561226	",
41.872796  ,"-87.704075	",
41.703385  ,"-87.633837	",
41.721684  ,"-87.577770	",
41.746338  ,"-87.646343	",
41.896013  ,"-87.632698	",
41.808373  ,"-87.688512	",
41.96908   ,"-87.655479	",
41.888941  ,"-87.657745	",
41.867069  ,"-87.726148	",
41.928822  ,"-87.687782	",
41.880991  ,"-87.704696	",
41.79295   ,"-87.710893	",
41.75655   ,"-87.592600	",
41.927097  ,"-87.659264	",
41.951053  ,"-87.836644	",
41.981713  ,"-87.708830	",
41.818818  ,"-87.699460	",
41.776597  ,"-87.696987	",
41.875319  ,"-87.721484	",
41.745846  ,"-87.653615	",
41.977672  ,"-87.695144	",
41.997825  ,"-87.684267	",
41.682865  ,"-87.668768	",
41.911971  ,"-87.763090	",
41.836127  ,"-87.618221	",
41.895361  ,"-87.726431	",
41.772913  ,"-87.695675	",
41.881905  ,"-87.704805	",
